,fps,duration,cudaTotal,kernComputeIndices-836,thrust::sort_by_key-840,kernResetIntBuffer-846,kernResetIntBuffer-847,kernIdentifyCellStartEnd-850,kernUpdateVelNeighborSearchScattered-857,kernUpdatePos-862
avg_1024,64.4773,15.555,14.6243,0.0388573,0.610785,0.00866616,0.00570697,0.0168465,13.8829,0.0605067
max_1024,74.6138,20.7197,17.8565,0.067584,1.584,0.051328,0.024576,0.04096,17.1463,0.354304
min_1024,48.2632,13.4023,13.7117,0.035552,0.51904,0.006144,0.004096,0.014784,13.0369,0.057344
512,57.3605,17.4336,15.2994,0.037696,0.692224,0.008192,0.006144,0.01616,14.4796,0.059392
513,57.0156,17.5391,15.2599,0.038272,0.698592,0.007968,0.004992,0.016384,14.4335,0.060192
514,65.1731,15.3438,16.4966,0.038752,0.610464,0.008192,0.005664,0.016384,15.7589,0.058272
515,60.7607,16.458,15.151,0.038912,0.54272,0.008256,0.00608,0.016384,14.4788,0.059872
516,62.4657,16.0088,16.3877,0.038752,0.53808,0.007008,0.005536,0.016256,15.7233,0.058848
517,57.3573,17.4346,15.2093,0.037728,0.57344,0.008192,0.005952,0.016352,14.5062,0.06144
518,60.3987,16.5566,16.4412,0.038944,0.5816,0.007744,0.004544,0.016384,15.7321,0.05984
519,59.2113,16.8887,15.1976,0.037184,0.542208,0.008224,0.004576,0.016384,14.5297,0.059296
520,62.0493,16.1162,16.3934,0.038944,0.564896,0.008192,0.005536,0.015264,15.7017,0.058848
521,57.9776,17.248,15.233,0.038912,0.56528,0.00816,0.006016,0.01616,14.5391,0.059392
522,60.1433,16.627,16.5164,0.038912,0.533824,0.008224,0.004768,0.016384,15.8556,0.05872
523,57.2067,17.4805,15.2534,0.03856,0.594816,0.008192,0.005536,0.016192,14.5293,0.060832
524,63.0038,15.8721,16.468,0.038912,0.552064,0.008224,0.00496,0.016384,15.788,0.059392
525,57.1429,17.5,15.2867,0.03872,0.622304,0.01936,0.00608,0.016224,14.5244,0.059648
526,61.5718,16.2412,16.4635,0.038688,0.540896,0.008192,0.00544,0.029376,15.7819,0.058976
527,58.6887,17.0391,15.565,0.037856,0.546784,0.008192,0.006144,0.016384,14.8908,0.058816
528,55.9257,17.8809,15.8953,0.05312,1.21741,0.008192,0.006112,0.016416,14.5347,0.059392
529,61.138,16.3564,16.5989,0.038944,0.624608,0.016384,0.006144,0.026624,15.8269,0.059328
530,60.3027,16.583,15.2416,0.03728,0.554592,0.00656,0.006048,0.01616,14.5555,0.065536
531,58.7156,17.0312,16.6418,0.037536,0.630464,0.024512,0.005536,0.015328,15.8679,0.06048
532,58.8134,17.0029,15.2628,0.038912,0.544544,0.008192,0.005536,0.015328,14.5909,0.059328
533,62.3516,16.0381,16.4797,0.038784,0.534688,0.00816,0.006144,0.016352,15.8159,0.059648
534,58.0861,17.2158,15.714,0.038624,0.549184,0.008192,0.0056,0.016192,15.0372,0.059008
535,57.9382,17.2598,16.9814,0.038912,0.997344,0.008224,0.0056,0.016928,15.8511,0.06336
536,56.747,17.6221,15.4522,0.038944,0.70624,0.008224,0.005536,0.016224,14.6176,0.059392
537,61.0942,16.3682,15.3825,0.038592,0.641472,0.008224,0.005536,0.01536,14.6138,0.059552
538,60.7067,16.4727,16.6587,0.038528,0.63552,0.008192,0.005888,0.016096,15.8951,0.059392
539,56.2854,17.7666,15.3812,0.037728,0.636192,0.00816,0.004864,0.016384,14.6176,0.060224
540,58.311,17.1494,16.6504,0.038624,0.610752,0.008192,0.005824,0.016032,15.9116,0.059392
541,57.9579,17.2539,16.5089,0.038912,0.56048,0.008192,0.004768,0.016384,15.8219,0.058304
542,53.4503,18.709,17.5355,0.038496,1.584,0.008192,0.006144,0.016384,15.8244,0.057792
543,59.4243,16.8281,15.3134,0.0384,0.570048,0.008096,0.005536,0.015328,14.6166,0.059424
544,63.2411,15.8125,16.5474,0.038944,0.552224,0.008224,0.004768,0.016384,15.8679,0.059008
545,57.3798,17.4277,15.3542,0.03856,0.58,0.008384,0.005536,0.016224,14.6456,0.059936
546,62.1095,16.1006,15.3709,0.037536,0.58368,0.008192,0.005664,0.016096,14.6617,0.058048
547,60.9306,16.4121,16.5417,0.040992,0.58496,0.008128,0.004896,0.016384,15.8269,0.059392
548,57.2707,17.4609,16.6381,0.038688,0.639584,0.008224,0.00576,0.016032,15.8701,0.059712
549,55.9808,17.8633,15.391,0.03888,0.644064,0.008192,0.006016,0.016224,14.6182,0.059456
550,61.1635,16.3496,16.6485,0.03856,0.653184,0.008192,0.004928,0.016384,15.8679,0.059392
551,56.5465,17.6846,15.4012,0.038528,0.64768,0.008224,0.005536,0.015392,14.6265,0.059328
552,60.5237,16.5225,15.4153,0.038912,0.662752,0.008192,0.004896,0.016384,14.6245,0.05968
553,58.598,17.0654,16.6908,0.038304,0.673472,0.008224,0.004992,0.028416,15.8702,0.067136
554,58.598,17.0654,15.3006,0.038912,0.537984,0.008192,0.004736,0.016416,14.6344,0.060032
555,56.0911,17.8281,17.8565,0.038368,0.582176,0.008192,0.00592,0.016192,17.1463,0.059392
556,56.2298,17.7842,15.2863,0.038944,0.548,0.008224,0.004896,0.016416,14.6104,0.059424
557,63.8882,15.6523,16.5374,0.038912,0.525344,0.008224,0.005056,0.016384,15.8823,0.061216
558,56.165,17.8047,15.3076,0.037888,0.55088,0.008192,0.006112,0.016416,14.6281,0.06
559,62.401,16.0254,16.4905,0.038944,0.542048,0.008192,0.004768,0.016352,15.8205,0.059648
560,59.1292,16.9121,15.317,0.040992,0.529536,0.008192,0.00496,0.016384,14.6575,0.059392
561,60.388,16.5596,16.5532,0.038912,0.571488,0.009184,0.005056,0.016384,15.8535,0.05872
562,57.9448,17.2578,15.3286,0.037216,0.569152,0.008192,0.005536,0.015168,14.6344,0.058944
563,61.9405,16.1445,16.4987,0.038944,0.565248,0.008288,0.006016,0.016384,15.8044,0.059392
564,55.4263,18.042,15.3141,0.038592,0.60448,0.008192,0.006144,0.016256,14.5815,0.058944
565,58.9183,16.9727,16.7178,0.04096,0.690176,0.014336,0.005984,0.028672,15.8783,0.059392
566,61.2257,16.333,15.2944,0.038368,0.541248,0.008192,0.005792,0.016192,14.6253,0.059296
567,56.5433,17.6855,16.5294,0.038912,0.597856,0.006304,0.006144,0.01632,15.8045,0.059424
568,57.8695,17.2803,15.4563,0.052416,0.701248,0.008192,0.01392,0.026208,14.5949,0.059424
569,63.4685,15.7559,16.4949,0.038368,0.53552,0.008192,0.006016,0.016064,15.8315,0.059264
570,58.1785,17.1885,15.2433,0.03744,0.538624,0.008224,0.005472,0.01616,14.5777,0.059616
571,63.2645,15.8066,16.4577,0.037664,0.538624,0.008192,0.006048,0.01616,15.7919,0.059104
572,57.1652,17.4932,15.253,0.038528,0.53264,0.008224,0.004736,0.016384,14.592,0.06048
573,63.2606,15.8076,16.5642,0.03776,0.550688,0.008288,0.005536,0.01616,15.8852,0.060544
574,56.8573,17.5879,16.5272,0.038912,0.536544,0.008256,0.005536,0.016416,15.8623,0.059264
575,57.2355,17.4717,16.4086,0.038496,0.542304,0.00816,0.00496,0.016384,15.7402,0.058112
576,59.521,16.8008,15.1593,0.038912,0.52624,0.008192,0.005568,0.016224,14.5048,0.059392
577,62.5,16,16.5356,0.038912,0.550912,0.008224,0.005696,0.016352,15.8561,0.059392
578,56.0175,17.8516,15.4419,0.038912,0.679936,0.008192,0.014336,0.016384,14.6248,0.059392
579,58.7425,17.0234,16.5187,0.039072,0.620416,0.008192,0.005536,0.016288,15.77,0.059168
580,58.5745,17.0723,15.1979,0.038688,0.532704,0.008192,0.00576,0.016064,14.5365,0.06
581,62.2341,16.0684,17.3489,0.03744,0.534208,0.006464,0.006112,0.016224,16.6889,0.05952
582,54.2402,18.4365,15.1836,0.037568,0.530432,0.008192,0.005792,0.016512,14.5258,0.059328
583,62.5458,15.9883,16.4854,0.037888,0.569344,0.008192,0.005696,0.016064,15.7888,0.059424
584,58.4675,17.1035,15.2307,0.038912,0.557056,0.023744,0.004928,0.016384,14.5285,0.06112
585,63.027,15.8662,15.1542,0.037888,0.528384,0.008192,0.00592,0.016576,14.4991,0.058144
586,61.9068,16.1533,16.5456,0.038944,0.677888,0.00816,0.006144,0.016352,15.7388,0.059328
587,55.1457,18.1338,16.5006,0.038912,0.618048,0.008192,0.004544,0.016416,15.7552,0.059232
588,57.5184,17.3857,16.3747,0.037856,0.536256,0.008224,0.005568,0.015168,15.7123,0.059392
589,57.827,17.293,15.2781,0.0384,0.641536,0.024384,0.005536,0.015232,14.4935,0.059456
590,63.1787,15.8281,16.5523,0.049888,0.695776,0.008256,0.004576,0.0176,15.7168,0.059424
591,59.0985,16.9209,15.1729,0.038912,0.53376,0.008192,0.004864,0.016416,14.5112,0.059552
592,59.0032,16.9482,15.283,0.037696,0.707552,0.008192,0.00512,0.016384,14.4497,0.058368
593,61.9517,16.1416,16.5523,0.038368,0.613216,0.008192,0.005632,0.01632,15.8111,0.059424
594,56.4592,17.7119,15.2146,0.038464,0.608704,0.008192,0.005984,0.016096,14.4778,0.059392
595,62.3896,16.0283,16.4245,0.038912,0.565248,0.008192,0.00608,0.01648,15.7225,0.067104
596,56.6968,17.6377,15.1746,0.037856,0.60992,0.008192,0.005536,0.01536,14.4381,0.059648
597,62.5802,15.9795,16.4002,0.038912,0.577536,0.008192,0.006048,0.01648,15.6918,0.061216
