,fps,duration,cudaTotal,kernComputeIndices-836,thrust::sort_by_key-840,kernResetIntBuffer-846,kernResetIntBuffer-847,kernIdentifyCellStartEnd-850,kernUpdateVelNeighborSearchScattered-857,kernUpdatePos-862
avg_1024,157.371,6.3908,5.65838,0.0265229,0.424142,0.00727309,0.00572794,0.0112256,5.14657,0.0369196
max_1024,202.332,8.43457,6.86902,0.04512,1.24029,0.044672,0.023136,0.053248,6.29475,0.29376
min_1024,118.56,4.94238,5.10566,0.022528,0.344544,0.006112,0.004096,0.009184,4.64557,0.034816
512,151.01,6.62207,5.71872,0.02352,0.40928,0.006496,0.006144,0.01024,5.2265,0.036544
513,157.939,6.33154,6.16448,0.026624,0.3768,0.006176,0.006144,0.01024,5.70166,0.036832
514,145.202,6.88696,5.31994,0.026112,0.3712,0.007808,0.005536,0.011232,4.86154,0.036512
515,167.834,5.95825,5.3023,0.026624,0.36832,0.006464,0.006112,0.010304,4.84758,0.036896
516,158.938,6.29175,5.32166,0.023488,0.3864,0.006816,0.006112,0.010272,4.85302,0.035552
517,169.966,5.88354,6.16966,0.0264,0.370912,0.007232,0.005056,0.01024,5.71392,0.035904
518,145.496,6.87305,5.35414,0.026176,0.401408,0.007072,0.005536,0.010656,4.86797,0.035328
519,161.572,6.18921,5.73082,0.025088,0.411648,0.007392,0.004896,0.011296,5.23363,0.036864
520,159.13,6.28418,6.18704,0.026624,0.36448,0.006208,0.00608,0.010304,5.73776,0.035584
521,142.753,7.00513,5.33507,0.026112,0.397792,0.006176,0.006144,0.01024,4.85178,0.036832
522,161.808,6.18018,5.74262,0.026624,0.429792,0.006432,0.006144,0.010272,5.22768,0.03568
523,158.563,6.30664,6.20816,0.025216,0.374784,0.007872,0.005568,0.010784,5.74704,0.036896
524,141.877,7.04834,5.33094,0.02656,0.407616,0.0072,0.005088,0.010336,4.83728,0.036864
525,164.089,6.09424,5.69958,0.026656,0.4192,0.006752,0.005824,0.010592,5.19568,0.03488
526,154.718,6.46338,6.18205,0.027936,0.388896,0.007072,0.005536,0.01072,5.70589,0.036
527,146.317,6.83447,5.70368,0.026624,0.376544,0.006432,0.005568,0.010752,5.24259,0.035168
528,154.648,6.46631,5.30227,0.026656,0.39728,0.006144,0.006144,0.01024,4.81651,0.039296
529,153.673,6.50732,5.31046,0.029824,0.38912,0.00704,0.005664,0.011872,4.83168,0.035264
530,169.536,5.89844,5.29818,0.026624,0.37888,0.007968,0.00432,0.011392,4.83363,0.03536
