,fps,duration,cudaTotal,kernUpdateVelocityBruteForce-802,kernUpdatePos-803
avg_1024,146.629,9.40658,6.65268,6.64629,0.00638269
max_1024,6400,2322.06,8.0689,8.06282,0.261536
min_1024,0.430652,0.15625,6.30189,6.29574,0.00464
512,6400,0.15625,6.30858,6.30243,0.006144
513,0.430652,2322.06,6.31046,6.30429,0.006176
514,150.91,6.62646,6.62067,6.61466,0.006016
515,139.491,7.16895,6.96861,6.96262,0.005984
516,137.699,7.26221,6.31194,6.30579,0.006144
517,145.682,6.86426,6.62899,6.62294,0.006048
518,145.001,6.89648,6.96944,6.96422,0.005216
519,133.9,7.46826,6.31373,6.30771,0.006016
520,147.211,6.79297,6.608,6.60195,0.006048
521,132.437,7.55078,6.97078,6.96477,0.006016
522,138.697,7.20996,6.31213,6.30598,0.006144
523,146.39,6.83105,6.32118,6.30518,0.016
524,138.136,7.23926,6.59261,6.58742,0.005184
525,150.455,6.64648,6.96579,6.95978,0.006016
526,120.428,8.30371,6.30973,6.30227,0.007456
527,161.133,6.20605,6.59258,6.58637,0.006208
528,145.983,6.8501,7.2808,7.27478,0.006016
529,130.879,7.64062,6.8001,6.79398,0.006112
530,128.732,7.76807,6.59328,6.58714,0.006144
531,136.898,7.30469,6.33062,6.32448,0.006144
532,135.414,7.38477,6.31994,6.30579,0.014144
533,143.77,6.95557,7.32688,7.31955,0.007328
534,122.065,8.19238,6.31101,6.30499,0.006016
535,148.945,6.71387,6.31194,6.30579,0.006144
536,150.799,6.63135,7.05597,7.04982,0.006144
537,126.576,7.90039,6.30374,6.2976,0.006144
538,152.836,6.54297,6.30592,6.29933,0.006592
539,142.599,7.0127,7.0535,7.04736,0.006144
540,132.078,7.57129,6.31133,6.30538,0.005952
541,147.148,6.7959,6.61206,6.60602,0.006048
542,143.851,6.95166,7.00509,6.99894,0.006144
543,132.052,7.57275,6.6048,6.59866,0.006144
544,143.982,6.94531,7.31744,7.31136,0.00608
545,125.752,7.95215,6.95296,6.94698,0.005984
546,136.461,7.32812,6.31402,6.30784,0.006176
547,144.378,6.92627,6.59059,6.58445,0.006144
548,142.361,7.02441,6.9663,6.96038,0.00592
549,124.65,8.02246,6.31232,6.30624,0.00608
550,160.665,6.22412,6.59286,6.58672,0.006144
551,141.74,7.05518,7.01667,7.00822,0.008448
552,133.629,7.4834,6.31142,6.30534,0.00608
553,143.76,6.95605,6.61677,6.61078,0.005984
554,134.808,7.41797,6.99197,6.97558,0.016384
555,135.19,7.39697,6.31046,6.30442,0.006048
556,141.573,7.06348,6.31194,6.30595,0.005984
557,149.195,6.70264,6.60285,6.59677,0.00608
558,144.643,6.91357,8.0689,8.06282,0.00608
559,115.765,8.63818,6.31165,6.3057,0.005952
560,151.692,6.59229,7.364,7.35795,0.006048
561,126.553,7.90186,6.31094,6.30496,0.005984
562,149.773,6.67676,6.31347,6.30749,0.005984
563,140.322,7.12646,7.05418,7.048,0.006176
564,132.394,7.55322,6.30646,6.30045,0.006016
565,145.434,6.87598,6.30579,6.29917,0.006624
566,149.424,6.69238,7.05933,7.05328,0.006048
567,129.465,7.72412,6.31194,6.30579,0.006144
568,147.859,6.76318,6.6176,6.61146,0.006144
569,138.613,7.21436,6.99555,6.9895,0.006048
570,138.622,7.21387,6.31024,6.30419,0.006048
571,146.926,6.80615,6.6089,6.60275,0.006144
572,136.379,7.33252,6.97139,6.96525,0.006144
573,137.94,7.24951,6.61453,6.60858,0.005952
574,140.756,7.10449,7.35155,7.34557,0.005984
575,127.49,7.84375,6.96515,6.95894,0.006208
576,132.189,7.56494,6.3087,6.30253,0.006176
577,150.788,6.63184,6.59696,6.59085,0.006112
578,140.746,7.10498,6.96634,6.96032,0.006016
579,136.524,7.32471,6.32192,6.31549,0.006432
580,145.217,6.88623,6.3103,6.30429,0.006016
581,148.87,6.71729,6.59232,6.58627,0.006048
582,141.349,7.07471,7.02243,7.01517,0.007264
583,134.968,7.40918,6.31194,6.30579,0.006144
584,148.32,6.74219,6.59798,6.59194,0.006048
585,140.582,7.11328,7.02432,7.01827,0.006048
586,134.348,7.44336,6.31194,6.30579,0.006144
587,145.289,6.88281,6.59779,6.59174,0.006048
588,148.492,6.73438,6.77843,6.77238,0.006048
589,124.81,8.01221,6.59661,6.5905,0.006112
590,141.037,7.09033,7.31152,7.30538,0.006144
591,124.151,8.05469,6.31018,6.30403,0.006144
592,149.054,6.70898,6.31206,6.30598,0.00608
593,143.679,6.95996,7.39126,7.38509,0.006176
594,125.837,7.94678,6.30579,6.29965,0.006144
595,133.403,7.49609,6.30429,6.29814,0.006144
596,167.553,5.96826,7.01309,7.00787,0.005216
597,132.428,7.55127,6.31002,6.30403,0.005984
598,143.027,6.9917,6.57203,6.56589,0.006144
599,138.923,7.19824,7.0207,7.01456,0.006144
600,136.035,7.35107,6.31328,6.30726,0.006016
601,151.636,6.59473,6.59427,6.58829,0.005984
602,140.236,7.13086,6.97242,6.96634,0.00608
603,130.321,7.67334,6.31101,6.30499,0.006016
604,152.358,6.56348,6.59667,6.59053,0.006144
605,145.104,6.8916,7.01222,7.00621,0.006016
606,116.815,8.56055,6.3119,6.30589,0.006016
607,153.731,6.50488,6.59296,6.58682,0.006144
608,149.653,6.68213,6.97344,6.9673,0.006144
609,129.024,7.75049,6.312,6.30602,0.005984
610,139.891,7.14844,6.31133,6.30531,0.006016
611,155.919,6.41357,6.60141,6.59523,0.006176
612,145.63,6.8667,6.9897,6.98365,0.006048
613,129.432,7.72607,6.59046,6.58432,0.006144
614,146.863,6.80908,7.02208,7.0161,0.005984
615,130.804,7.64502,6.30992,6.30374,0.006176
616,148.945,6.71387,6.32202,6.30579,0.016224
617,118.56,8.43457,6.60685,6.6007,0.006144
618,171.654,5.82568,7.07613,7.07008,0.006048
619,128.643,7.77344,6.31341,6.30746,0.005952
620,143.247,6.98096,6.59587,6.58979,0.00608
621,142.42,7.02148,6.31398,6.30784,0.006144
622,139.681,7.15918,6.31424,6.3081,0.006144
623,150.18,6.65869,6.59856,6.59251,0.006048
624,133.255,7.50439,6.31414,6.308,0.006144
625,137.468,7.27441,6.31386,6.30784,0.006016
626,133.979,7.46387,7.36077,7.35472,0.006048
627,137.137,7.29199,6.31379,6.30774,0.006048
628,145.31,6.88184,6.31194,6.30579,0.006144
629,148.052,6.75439,7.0007,6.99459,0.006112
630,133.151,7.51025,6.30352,6.2969,0.006624
631,145.248,6.88477,6.30378,6.2976,0.006176
632,149.435,6.69189,7.39741,7.39123,0.006176
633,122.73,8.14795,7.02589,7.01987,0.006016
634,138.688,7.21045,6.61018,6.60416,0.006016
635,140.236,7.13086,6.96749,6.9623,0.005184
636,134.87,7.41455,6.31082,6.30563,0.005184
637,139.396,7.17383,6.62256,6.61654,0.006016
638,147.785,6.7666,6.98416,6.97802,0.006144
639,134.374,7.44189,6.30989,6.30374,0.006144
640,150.235,6.65625,6.60835,6.60237,0.005984
641,138.341,7.22852,6.9591,6.95296,0.006144
642,138.725,7.2085,6.31072,6.30454,0.006176
643,149.152,6.70459,6.59661,6.59046,0.006144
644,140.64,7.11035,6.96077,6.95478,0.005984
645,136.807,7.30957,6.31194,6.30595,0.005984
646,146.056,6.84668,6.59446,6.58848,0.005984
647,140.921,7.09619,6.9591,6.95296,0.006144
648,133.472,7.49219,6.59248,6.58653,0.005952
649,145.765,6.86035,7.26858,7.2625,0.00608
650,123.784,8.07861,7.10016,7.09411,0.006048
651,135.289,7.3916,6.30995,6.30378,0.006176
652,150.378,6.6499,6.31318,6.30707,0.006112
653,144.266,6.93164,6.59472,6.58861,0.006112
654,145.001,6.89648,6.79213,6.78602,0.006112
655,132.514,7.54639,6.31357,6.30758,0.005984
656,150.655,6.6377,7.27808,7.27197,0.006112
657,126.67,7.89453,6.30989,6.30374,0.006144
658,151.951,6.58105,6.30986,6.30374,0.006112
659,146.025,6.84814,7.30694,7.3009,0.006048
660,130.704,7.65088,6.31299,6.30694,0.006048
661,143.588,6.96436,6.31066,6.30451,0.006144
662,150.599,6.64014,7.37846,7.37238,0.00608
663,116.822,8.56006,6.30579,6.29965,0.006144
664,161.565,6.18945,7.4281,7.42195,0.006144
665,127.332,7.85352,6.97696,6.97098,0.005984
666,133.778,7.4751,6.31261,6.30656,0.006048
667,147.657,6.77246,6.62051,6.6145,0.006016
668,139.367,7.17529,7.00195,6.99594,0.006016
669,134.058,7.45947,6.61469,6.60874,0.005952
670,136.661,7.31738,6.96938,6.9632,0.006176
671,141.163,7.08398,6.59811,6.59203,0.00608
672,137.422,7.27686,6.97664,6.97062,0.006016
673,142.262,7.0293,6.59078,6.58464,0.006144
674,133.525,7.48926,6.96115,6.95501,0.006144
675,133.498,7.49072,6.59229,6.58621,0.00608
676,127.229,7.85986,7.03501,7.02874,0.006272
677,152.95,6.53809,6.3112,6.30518,0.006016
678,140.101,7.1377,6.59264,6.58656,0.00608
679,144.633,6.91406,7.09117,7.08474,0.006432
680,135.845,7.36133,6.59779,6.59181,0.005984
