,fps,duration,cudaTotal,kernComputeIndices-836,thrust::sort_by_key-840,kernResetIntBuffer-846,kernResetIntBuffer-847,kernIdentifyCellStartEnd-850,kernUpdateVelNeighborSearchScattered-857,kernUpdatePos-862
avg_1024,412.541,2.49046,0.88236,0.00876003,0.250105,0.00500147,0.004953,0.00646041,0.599148,0.00793184
max_1024,548.767,4.54565,1.24109,0.026048,0.578592,0.016064,0.022368,0.018976,0.688128,0.024192
min_1024,219.99,1.82227,0.81104,0.006944,0.219328,0.004064,0.004096,0.00608,0.538656,0.006816
512,411.658,2.4292,0.820448,0.008192,0.232832,0.004736,0.004096,0.007424,0.555328,0.00784
513,429.801,2.32666,0.862304,0.008192,0.237568,0.005856,0.004416,0.006112,0.592928,0.007232
514,460.276,2.17261,0.82944,0.008064,0.247936,0.00528,0.004896,0.00624,0.548832,0.008192
515,390.281,2.56226,0.854016,0.009344,0.231392,0.004928,0.004192,0.00624,0.590816,0.007104
516,451.947,2.21265,0.837632,0.008192,0.22512,0.004256,0.005568,0.0064,0.579904,0.008192
517,518.744,1.92773,0.837472,0.008192,0.230624,0.004896,0.004096,0.00624,0.575392,0.008032
518,399.22,2.50488,0.838752,0.008224,0.23552,0.005664,0.004576,0.006144,0.570816,0.007808
519,455.617,2.19482,0.851968,0.008192,0.227328,0.00544,0.0048,0.006144,0.591872,0.008192
520,430.207,2.32446,0.86736,0.01024,0.244896,0.00496,0.004096,0.006144,0.589248,0.007776
521,390.467,2.56104,0.829216,0.008576,0.235328,0.004704,0.004096,0.007488,0.561152,0.007872
522,454.656,2.19946,0.827392,0.008192,0.22736,0.005536,0.004672,0.006144,0.568416,0.007072
523,484.734,2.06299,0.821408,0.008192,0.229696,0.00464,0.005184,0.006304,0.559616,0.007776
524,384.709,2.59937,0.818432,0.00944,0.232224,0.005632,0.004608,0.006144,0.552512,0.007872
525,430.252,2.32422,0.837184,0.01024,0.22656,0.004864,0.004096,0.007232,0.576096,0.008096
526,374.646,2.66919,0.84992,0.008192,0.23072,0.0048,0.005664,0.006528,0.585824,0.008192
527,371.183,2.69409,0.829856,0.008512,0.239616,0.00576,0.00448,0.006144,0.5584,0.006944
528,431.703,2.31641,0.82288,0.009792,0.22896,0.00496,0.004096,0.0072,0.56,0.007872
529,411.41,2.43066,0.821248,0.009664,0.238144,0.00528,0.004896,0.006208,0.549952,0.007104
530,358.763,2.78735,0.84272,0.008768,0.235392,0.00464,0.005216,0.006592,0.57392,0.008192
531,413.195,2.42017,0.827648,0.008448,0.235232,0.004384,0.00544,0.006304,0.559648,0.008192
