,fps,duration,cudaTotal,kernUpdateVelocityBruteForce-802,kernUpdatePos-803
avg_1024,125.295,7.9985,6.30922,6.30306,0.00615747
max_1024,135.611,12.0449,6.3304,6.31834,0.022528
min_1024,83.0225,7.37402,6.3015,6.29552,0.004768
512,126.147,7.92725,6.3113,6.30531,0.005984
513,122.159,8.18604,6.30374,6.2976,0.006144
514,125.375,7.97607,6.31037,6.30422,0.006144
515,128.595,7.77637,6.30634,6.30019,0.006144
516,128.538,7.77979,6.31203,6.30589,0.006144
517,125.429,7.97266,6.30579,6.29965,0.006144
518,129.407,7.72754,6.31466,6.30851,0.006144
519,123.672,8.08594,6.30534,6.29936,0.005984
520,114.695,8.71875,6.31002,6.30406,0.005952
521,126.396,7.91162,6.30579,6.29968,0.006112
522,130.131,7.68457,6.31363,6.30707,0.00656
523,130.804,7.64502,6.30499,6.29904,0.005952
524,131.164,7.62402,6.30989,6.30374,0.006144
525,126.521,7.90381,6.30509,6.29907,0.006016
526,130.421,7.66748,6.31405,6.30803,0.006016
527,120.947,8.26807,6.30403,6.29789,0.006144
528,129.162,7.74219,6.30989,6.30374,0.006144
529,126.678,7.89404,6.3073,6.30128,0.006016
530,122.437,8.16748,6.31005,6.3039,0.006144
531,129.604,7.71582,6.30381,6.29776,0.006048
532,125.153,7.99023,6.31027,6.30413,0.006144
533,113.513,8.80957,6.31408,6.29805,0.016032
534,123.077,8.125,6.31043,6.30547,0.00496
535,114.772,8.71289,6.30381,6.29786,0.005952
536,123.604,8.09033,6.30989,6.30387,0.006016
537,130.296,7.6748,6.30598,6.30003,0.005952
538,130.604,7.65674,6.3119,6.30534,0.00656
539,129.285,7.73486,6.30374,6.2976,0.006144
540,128.643,7.77344,6.31296,6.30698,0.005984
541,122.459,8.16602,6.30557,6.29946,0.006112
542,125.237,7.98486,6.31213,6.30605,0.00608
543,128.176,7.80176,6.30253,6.29638,0.006144
544,130.696,7.65137,6.30992,6.30378,0.006144
545,124.87,8.0083,6.31597,6.29555,0.020416
546,125.352,7.97754,6.31194,6.30579,0.006144
547,118.615,8.43066,6.30602,6.29997,0.006048
548,127.84,7.82227,6.31293,6.30678,0.006144
549,125.613,7.96094,6.30272,6.29658,0.006144
550,130.205,7.68018,6.30989,6.30374,0.006144
551,119.633,8.35889,6.30531,6.29933,0.005984
552,129.908,7.69775,6.31194,6.30579,0.006144
553,119.07,8.39844,6.30381,6.29786,0.005952
554,113.892,8.78027,6.31139,6.30544,0.005952
555,128.854,7.76074,6.3015,6.29552,0.005984
556,124.567,8.02783,6.31411,6.30816,0.005952
557,124.673,8.021,6.31366,6.30755,0.006112
558,127.26,7.85791,6.3135,6.30749,0.006016
559,107.546,9.29834,6.30624,6.30026,0.005984
560,128.813,7.76318,6.31194,6.30579,0.006144
561,130.321,7.67334,6.304,6.29786,0.006144
562,132.471,7.54883,6.3103,6.30432,0.005984
563,128.789,7.76465,6.3064,6.30035,0.006048
564,128.603,7.77588,6.31395,6.308,0.005952
565,131.215,7.62109,6.30579,6.29965,0.006144
566,131.392,7.61084,6.31142,6.30544,0.005984
567,129.293,7.73438,6.30579,6.29981,0.005984
568,126.132,7.92822,6.3105,6.30448,0.006016
569,128.064,7.80859,6.30573,6.29965,0.00608
570,129.187,7.74072,6.31443,6.30845,0.005984
571,128.168,7.80225,6.30618,6.30006,0.006112
572,129.752,7.70703,6.31149,6.30554,0.005952
573,129.277,7.73535,6.3017,6.29661,0.005088
574,129.399,7.72803,6.31235,6.30621,0.006144
575,122.079,8.19141,6.30378,6.2976,0.006176
576,128.603,7.77588,6.31267,6.30653,0.006144
577,129.53,7.72021,6.30438,6.29824,0.006144
578,130.846,7.64258,6.31014,6.304,0.006144
579,127.134,7.86572,6.30493,6.29894,0.005984
580,125.853,7.9458,6.31024,6.30429,0.005952
581,115.563,8.65332,6.30598,6.29984,0.006144
582,126.67,7.89453,6.31174,6.30579,0.005952
583,121.572,8.22559,6.30493,6.29894,0.005984
584,125.483,7.96924,6.31152,6.30554,0.005984
585,126.443,7.90869,6.30374,6.2976,0.006144
586,131.349,7.61328,6.31158,6.3056,0.005984
587,128.91,7.75732,6.30605,6.29994,0.006112
588,128.184,7.80127,6.31184,6.30582,0.006016
589,128.522,7.78076,6.3024,6.29642,0.005984
590,115.263,8.67578,6.31232,6.30634,0.005984
591,122.261,8.1792,6.30749,6.30154,0.005952
592,126.35,7.91455,6.31808,6.31194,0.006144
593,125.946,7.93994,6.30784,6.3017,0.006144
594,127.729,7.8291,6.30976,6.30374,0.006016
595,128.289,7.79492,6.30621,6.30022,0.005984
596,107.152,9.33252,6.31194,6.30691,0.005024
597,128.919,7.75684,6.30374,6.2976,0.006144
598,131.307,7.61572,6.31101,6.30509,0.00592
599,129.752,7.70703,6.3049,6.29894,0.005952
600,129,7.75195,6.31398,6.30784,0.006144
601,129.686,7.71094,6.30688,6.3009,0.005984
602,116.529,8.58154,6.31379,6.30781,0.005984
603,126.451,7.9082,6.304,6.29901,0.004992
604,128.659,7.77246,6.31213,6.30598,0.006144
605,125.145,7.99072,6.30442,6.29827,0.006144
606,126.225,7.92236,6.31056,6.30442,0.006144
607,125.977,7.93799,6.30374,6.2976,0.006144
608,125.275,7.98242,6.31267,6.30672,0.005952
609,127.673,7.83252,6.30531,6.29933,0.005984
610,116.675,8.5708,6.31325,6.3073,0.005952
611,120.287,8.31348,6.30285,6.29686,0.005984
