,fps,duration,cudaTotal,kernUpdateVelocityBruteForce-802,kernUpdatePos-803
avg_1024,352.134,2.87561,1.41372,1.40836,0.00536009
max_1024,438.262,6.79346,1.43136,1.42563,0.016384
min_1024,147.2,2.28174,1.40445,1.3993,0.004192
512,371.149,2.69434,1.41722,1.41277,0.004448
513,361.837,2.76367,1.41581,1.41088,0.004928
514,345.246,2.89648,1.41722,1.41232,0.004896
515,323.181,3.09424,1.41722,1.41181,0.005408
516,348.359,2.87061,1.41766,1.41155,0.006112
517,336.621,2.9707,1.41677,1.41107,0.005696
518,374.406,2.6709,1.41715,1.41149,0.005664
519,290.785,3.43896,1.41686,1.41139,0.005472
520,349.786,2.85889,1.41722,1.41238,0.004832
521,342.074,2.92334,1.41709,1.41107,0.006016
522,332.711,3.00562,1.41722,1.4127,0.004512
523,341.248,2.93042,1.41731,1.41187,0.00544
524,348.685,2.86792,1.41754,1.41258,0.00496
525,293.515,3.40698,1.41565,1.41126,0.004384
526,147.2,6.79346,1.41786,1.41171,0.006144
527,365.421,2.73657,1.41101,1.40598,0.005024
528,297.415,3.3623,1.41718,1.41107,0.006112
529,286.213,3.4939,1.41734,1.41142,0.00592
530,324.025,3.08618,1.41722,1.41274,0.00448
531,317.052,3.15405,1.41718,1.41107,0.006112
532,319.925,3.12573,1.41683,1.41107,0.00576
533,374.132,2.67285,1.41619,1.41168,0.004512
534,327.811,3.05054,1.41712,1.41165,0.005472
535,319.476,3.13013,1.42096,1.41517,0.005792
536,334.75,2.9873,1.41616,1.41107,0.005088
537,330.99,3.02124,1.41693,1.41123,0.005696
538,368.213,2.71582,1.41741,1.41126,0.006144
539,302.199,3.30908,1.41718,1.41187,0.005312
540,352.678,2.83545,1.41597,1.41162,0.004352
541,344.752,2.90063,1.41718,1.41114,0.006048
542,380.457,2.62842,1.41587,1.41082,0.005056
543,364.997,2.73975,1.41696,1.41107,0.005888
544,313.078,3.19409,1.41728,1.41158,0.005696
545,372.228,2.68652,1.41638,1.4111,0.00528
546,325.028,3.07666,1.41786,1.41178,0.00608
547,344.781,2.90039,1.41661,1.41107,0.005536
548,353.164,2.83154,1.41837,1.41312,0.005248
549,357.417,2.79785,1.41722,1.41251,0.004704
550,361.965,2.7627,1.41674,1.4112,0.005536
551,298.695,3.3479,1.4185,1.41312,0.005376
552,333.605,2.99756,1.4177,1.412,0.005696
553,320.852,3.1167,1.41696,1.4111,0.005856
554,374.406,2.6709,1.41562,1.41075,0.004864
555,352.283,2.83862,1.41622,1.41094,0.00528
556,375.504,2.66309,1.41757,1.41142,0.006144
557,355.186,2.81543,1.41584,1.40973,0.006112
558,349.578,2.8606,1.41565,1.41098,0.004672
559,370.31,2.70044,1.41722,1.41107,0.006144
560,345.683,2.89282,1.41722,1.41254,0.004672
561,349.906,2.85791,1.4159,1.40976,0.006144
562,359.551,2.78125,1.41741,1.4121,0.005312
563,262.733,3.80615,1.41654,1.41107,0.005472
564,345.013,2.89844,1.41517,1.41075,0.004416
565,323.564,3.09058,1.41696,1.41107,0.005888
566,365.878,2.73315,1.41645,1.41107,0.005376
567,314.835,3.17627,1.41722,1.4121,0.00512
568,266.216,3.75635,1.41568,1.41069,0.004992
569,352.769,2.83472,1.41642,1.41107,0.005344
570,317.963,3.14502,1.41763,1.41187,0.00576
571,349.071,2.86475,1.41642,1.41107,0.005344
572,319.576,3.12915,1.41654,1.41107,0.005472
573,307.093,3.25635,1.41568,1.41069,0.004992
574,320.275,3.12231,1.41834,1.41312,0.005216
575,363.862,2.74829,1.41712,1.41123,0.005888
576,323.309,3.09302,1.41568,1.41149,0.004192
577,339.326,2.94702,1.41562,1.41062,0.004992
578,369.976,2.70288,1.41613,1.41181,0.00432
579,308.039,3.24634,1.41603,1.40998,0.006048
580,374.03,2.67358,1.41578,1.41123,0.004544
581,378.873,2.6394,1.41766,1.41152,0.006144
582,337.703,2.96118,1.41642,1.41107,0.005344
583,276.253,3.61987,1.4161,1.41162,0.00448
584,336.482,2.97192,1.4152,1.41043,0.004768
585,336.399,2.97266,1.41558,1.4113,0.004288
586,294.507,3.39551,1.41722,1.41107,0.006144
587,363.895,2.74805,1.41658,1.41107,0.005504
588,271.402,3.68457,1.41715,1.41171,0.00544
589,383.377,2.6084,1.41648,1.41107,0.005408
590,364.835,2.74097,1.41581,1.41142,0.004384
591,382.411,2.61499,1.41712,1.41107,0.006048
592,335.903,2.97705,1.41542,1.41085,0.004576
593,352.011,2.84082,1.41722,1.41229,0.004928
594,321.331,3.11206,1.41562,1.40954,0.00608
595,382.875,2.61182,1.41526,1.40989,0.005376
596,382.875,2.61182,1.4153,1.41046,0.004832
597,354.847,2.81812,1.41574,1.4097,0.006048
598,337.62,2.96191,1.41517,1.41078,0.004384
599,378.418,2.64258,1.41555,1.40941,0.006144
600,312.457,3.20044,1.41722,1.41222,0.004992
601,320.601,3.11914,1.41578,1.40963,0.006144
602,354.816,2.81836,1.41683,1.41107,0.00576
603,304.038,3.28906,1.41555,1.41078,0.004768
604,295.08,3.38892,1.41917,1.41312,0.006048
605,345.858,2.89136,1.41587,1.41114,0.004736
606,341.078,2.93188,1.41699,1.41107,0.00592
607,311.246,3.21289,1.41626,1.41098,0.00528
608,411.41,2.43066,1.41699,1.41107,0.00592
609,255.521,3.91357,1.41597,1.41107,0.004896
610,370.009,2.70264,1.41517,1.41062,0.004544
611,317.963,3.14502,1.41658,1.41107,0.005504
612,353.53,2.82861,1.41568,1.40992,0.00576
