,fps,duration,cudaTotal,kernUpdateVelocityBruteForce-802,kernUpdatePos-803
avg_1024,18.4896,54.122,52.0424,52.0345,0.00796769
max_1024,18.8152,113.988,52.0793,52.0711,0.026624
min_1024,8.77283,53.1484,52.0049,51.9967,0.00672
512,18.5051,54.0391,52.0207,52.013,0.007712
513,18.6453,53.6328,52.029,52.0212,0.007808
514,18.6521,53.6133,52.0514,52.0436,0.007776
515,18.6725,53.5547,52.0446,52.0364,0.008192
516,18.6964,53.4863,52.0269,52.0191,0.007776
517,18.5118,54.0195,52.0556,52.0478,0.007808
518,18.756,53.3164,52.0562,52.048,0.008192
519,18.2395,54.8262,52.0284,52.0207,0.007776
520,18.6324,53.6699,52.052,52.0438,0.008192
521,18.6575,53.5977,52.0423,52.0341,0.008192
522,18.5279,53.9727,52.0477,52.0398,0.00784
523,18.577,53.8301,52.025,52.0171,0.00784
524,18.5979,53.7695,52.0661,52.0581,0.008
525,18.6732,53.5527,52.0581,52.051,0.007104
526,18.4644,54.1582,52.0255,52.0173,0.008192
527,18.6378,53.6543,52.0375,52.0231,0.0144
528,18.5986,53.7676,52.0542,52.0473,0.00688
529,18.5259,53.9785,52.054,52.0462,0.007776
530,18.3565,54.4766,52.0458,52.0376,0.008192
531,18.5776,53.8281,52.0647,52.0566,0.008064
532,18.6013,53.7598,52.0496,52.0418,0.007808
533,18.5595,53.8809,52.027,52.0193,0.007712
534,18.6019,53.7578,52.04,52.0321,0.00784
535,18.5386,53.9414,52.0524,52.0442,0.008192
536,18.4272,54.2676,52.0691,52.0609,0.008192
537,18.5205,53.9941,52.0681,52.0603,0.007808
538,18.6304,53.6758,52.0634,52.0556,0.007808
539,18.6033,53.7539,52.0427,52.0358,0.00688
540,18.5232,53.9863,52.0417,52.0335,0.008192
541,18.7107,53.4453,52.0392,52.0308,0.00848
542,18.5972,53.7715,52.0393,52.0315,0.00784
543,18.6487,53.623,52.0662,52.0583,0.007904
544,18.5797,53.8223,52.0547,52.0468,0.007872
545,18.6195,53.707,52.0652,52.057,0.008192
546,18.6664,53.5723,52.0438,52.0356,0.008192
547,8.77283,113.988,52.0606,52.0524,0.008192
548,18.5662,53.8613,52.0397,52.0315,0.008192
549,18.6406,53.6465,52.0458,52.0376,0.008192
550,18.5025,54.0469,52.0493,52.0413,0.007968
551,18.3921,54.3711,52.0363,52.0281,0.008192
552,18.3743,54.4238,52.0433,52.0356,0.007776
553,18.6739,53.5508,52.0445,52.0376,0.006944
